firstName,lastName,email,licenseNumber,specialization,phone
Laura,Sánchez,laura.sánchez@outlook.com,83790583,PHYSICAL_CHEMISTRY,0027234028
Javier,Romero,javier.romero@gmail.com,46321450,ANALYTICAL_CHEMISTRY,4728441599
Isabel,García,isabel.garcía@hotmail.com,71044452,ANALYTICAL_CHEMISTRY,5094028970
Luis,Gutiérrez,luis.gutiérrez@gmail.com,16048212,ENVIRONMENTAL_CHEMISTRY,4984835166
Luis,Álvarez,luis.álvarez@gmail.com,51153637,BIOCHEMISTRY,4086298893
María,Fernández,maría.fernández@outlook.com,37839581,ORGANIC_CHEMISTRY,8176278540
Carmen,Pérez,carmen.pérez@yahoo.com,86820354,ENVIRONMENTAL_CHEMISTRY,1153691427
Pedro,Moreno,pedro.moreno@gmail.com,13159719,ANALYTICAL_CHEMISTRY,5727417827
Pedro,Álvarez,pedro.álvarez@outlook.com,67439046,ORGANIC_CHEMISTRY,9466387220
Lucía,Sánchez,lucía.sánchez@outlook.com,62597939,INORGANIC_CHEMISTRY,4640534553
Alejandro,Ruiz,alejandro.ruiz@yahoo.com,26326440,PHYSICAL_CHEMISTRY,9035334703
Miguel,Gómez,miguel.gómez@gmail.com,07664308,PHARMACEUTICAL_CHEMISTRY,9494181197
Alejandro,Alonso,alejandro.alonso@hotmail.com,40996349,PHYSICAL_CHEMISTRY,5724432943
Carlos,Martínez,carlos.martínez@gmail.com,98405288,ENVIRONMENTAL_CHEMISTRY,7948340375
Ana,Jiménez,ana.jiménez@outlook.com,59521612,ORGANIC_CHEMISTRY,9858578867
Diego,Sánchez,diego.sánchez@hotmail.com,24640812,INORGANIC_CHEMISTRY,3688125713
Juan,Moreno,juan.moreno@hotmail.com,74379521,ENVIRONMENTAL_CHEMISTRY,1901485451
Pablo,Muñoz,pablo.muñoz@hotmail.com,83725832,PHYSICAL_CHEMISTRY,2640944790
Carlos,Muñoz,carlos.muñoz@outlook.com,17864111,BIOCHEMISTRY,7496858325
María,López,maría.lópez@hotmail.com,63915571,PHYSICAL_CHEMISTRY,6097675372
Patricia,Rodríguez,patricia.rodríguez@yahoo.com,11722190,BIOCHEMISTRY,8307689221
Alejandro,Pérez,alejandro.pérez@outlook.com,67401451,ORGANIC_CHEMISTRY,3562833735
Pablo,Muñoz,pablo.muñoz@yahoo.com,89052049,PHYSICAL_CHEMISTRY,3190308428
Laura,Sánchez,laura.sánchez@outlook.com,87568642,PHYSICAL_CHEMISTRY,8738877585
Carlos,Moreno,carlos.moreno@hotmail.com,32395107,PHYSICAL_CHEMISTRY,8202514147
Juan,Jiménez,juan.jiménez@outlook.com,04153182,PHARMACEUTICAL_CHEMISTRY,6476077317
Carmen,Alonso,carmen.alonso@outlook.com,03352466,ANALYTICAL_CHEMISTRY,1713295046
Elena,Hernández,elena.hernández@hotmail.com,60127888,BIOCHEMISTRY,9184475738
Carmen,Jiménez,carmen.jiménez@yahoo.com,57700242,ANALYTICAL_CHEMISTRY,2042385613
Diego,Alonso,diego.alonso@yahoo.com,29290143,ENVIRONMENTAL_CHEMISTRY,7041443366
Carlos,Sánchez,carlos.sánchez@hotmail.com,30807855,PHYSICAL_CHEMISTRY,0925185136
Laura,García,laura.garcía@yahoo.com,85782060,BIOCHEMISTRY,9718557769
Javier,Rodríguez,javier.rodríguez@hotmail.com,12429011,ANALYTICAL_CHEMISTRY,6160266194
Carlos,Gutiérrez,carlos.gutiérrez@yahoo.com,80658078,PHYSICAL_CHEMISTRY,9161010394
Sofía,Fernández,sofía.fernández@gmail.com,63946396,PHYSICAL_CHEMISTRY,6580848392
Andrés,González,andrés.gonzález@outlook.com,74122723,ANALYTICAL_CHEMISTRY,3062561090
Patricia,Pérez,patricia.pérez@hotmail.com,52323003,ORGANIC_CHEMISTRY,1306778025
Andrés,Fernández,andrés.fernández@gmail.com,84349202,ANALYTICAL_CHEMISTRY,5355491977
Isabel,Álvarez,isabel.álvarez@yahoo.com,51195551,ANALYTICAL_CHEMISTRY,3509225037
Andrés,García,andrés.garcía@yahoo.com,54645324,ANALYTICAL_CHEMISTRY,1957825793
Andrés,Gutiérrez,andrés.gutiérrez@gmail.com,08742560,ENVIRONMENTAL_CHEMISTRY,9936282198
Ana,Ruiz,ana.ruiz@outlook.com,38315862,PHARMACEUTICAL_CHEMISTRY,0359748723
Cristina,Díaz,cristina.díaz@hotmail.com,63496239,PHARMACEUTICAL_CHEMISTRY,3803572223
Javier,Jiménez,javier.jiménez@hotmail.com,66426011,ORGANIC_CHEMISTRY,8737823664
Pablo,Pérez,pablo.pérez@hotmail.com,90046469,ENVIRONMENTAL_CHEMISTRY,0136595328
Pablo,Alonso,pablo.alonso@outlook.com,58735640,BIOCHEMISTRY,3858861878
Andrés,Fernández,andrés.fernández@hotmail.com,00539778,ENVIRONMENTAL_CHEMISTRY,5984498433
Isabel,Romero,isabel.romero@outlook.com,84117268,ANALYTICAL_CHEMISTRY,6273535219
María,Gutiérrez,maría.gutiérrez@outlook.com,49019654,ENVIRONMENTAL_CHEMISTRY,9235123114
Pablo,Díaz,pablo.díaz@outlook.com,78564083,ANALYTICAL_CHEMISTRY,2631490801
Carlos,Hernández,carlos.hernández@hotmail.com,11128415,ENVIRONMENTAL_CHEMISTRY,8768531438
Juan,García,juan.garcía@yahoo.com,74259587,ORGANIC_CHEMISTRY,5542836165
Isabel,Muñoz,isabel.muñoz@gmail.com,28257688,PHARMACEUTICAL_CHEMISTRY,6156085337
Miguel,Pérez,miguel.pérez@hotmail.com,53243974,ANALYTICAL_CHEMISTRY,3451703547
Andrés,Moreno,andrés.moreno@yahoo.com,39956576,PHYSICAL_CHEMISTRY,6026444823
Lucía,Muñoz,lucía.muñoz@gmail.com,04322714,ENVIRONMENTAL_CHEMISTRY,1676200332
Cristina,Sánchez,cristina.sánchez@yahoo.com,57870400,PHARMACEUTICAL_CHEMISTRY,3980626017
Pedro,Gómez,pedro.gómez@outlook.com,24374271,INORGANIC_CHEMISTRY,6351793577
Diego,Díaz,diego.díaz@hotmail.com,37637752,INORGANIC_CHEMISTRY,9137634533
Cristina,Hernández,cristina.hernández@yahoo.com,71014727,PHARMACEUTICAL_CHEMISTRY,0014838472
Ana,Gutiérrez,ana.gutiérrez@hotmail.com,73356659,BIOCHEMISTRY,8638669450
Elena,Rodríguez,elena.rodríguez@outlook.com,02535004,PHARMACEUTICAL_CHEMISTRY,9278989646
Sofía,Álvarez,sofía.álvarez@gmail.com,59017307,ORGANIC_CHEMISTRY,2001387634
Miguel,Hernández,miguel.hernández@hotmail.com,39590182,INORGANIC_CHEMISTRY,1750640688
Javier,Álvarez,javier.álvarez@yahoo.com,01528507,ORGANIC_CHEMISTRY,5147446643
Laura,Gutiérrez,laura.gutiérrez@hotmail.com,99640783,BIOCHEMISTRY,9793221751
Patricia,Pérez,patricia.pérez@yahoo.com,03737806,BIOCHEMISTRY,4093916979
Juan,Gutiérrez,juan.gutiérrez@gmail.com,47445332,ANALYTICAL_CHEMISTRY,5332533336
Patricia,Romero,patricia.romero@hotmail.com,42366103,BIOCHEMISTRY,8456573705
Carmen,Pérez,carmen.pérez@gmail.com,66927940,BIOCHEMISTRY,6123757249
Lucía,Martín,lucía.martín@hotmail.com,09993140,ANALYTICAL_CHEMISTRY,5833214000
Cristina,Gutiérrez,cristina.gutiérrez@yahoo.com,65843154,PHYSICAL_CHEMISTRY,3234634401
Lucía,Sánchez,lucía.sánchez@hotmail.com,37895433,PHYSICAL_CHEMISTRY,7892873479
Pablo,Martín,pablo.martín@yahoo.com,44967523,PHYSICAL_CHEMISTRY,3001964950
Lucía,Romero,lucía.romero@gmail.com,65183787,ORGANIC_CHEMISTRY,0526382529
